is_true,label,predict,sentence,pre-processed,pre-processed_recover
FALSE,0,1,klq nhưng cùng tầm giá hàng cty thì nên so ip6+ 64gb với note 7 chứ .cơ mà mk sẽ chọn note 7﻿,klq nhưng cùng tầm giá hàng cty thì nên so ip+ gb với note  chứ .cơ mà mk sẽ chọn note ﻿,klq nhưng cùng tầm giá hàng cty thì nên so ip+ gb với note chứ PADDING mà mk sẽ chọn note ﻿ PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING
FALSE,0,1,Ngon lém lun..  Uống xong thấy yêu đời hẳn.. Ahihi <3 Đăng Nguyễn added a new photo to the album: ❤❤ by Hanh Nguyen and Đăng Nguyễn — at KOI Thé Pearl Plaza.,ngon lém lun..  uống xong thấy yêu đời hẳn.. ahihi < đăng nguyễn added a new photo to the album: ❤❤ by hanh nguyen and đăng nguyễn — at koi thé pearl plaza.,ngon lém PADDING uống xong thấy yêu đời PADDING ahihi < đăng nguyễn added a new photo to the album : ❤❤ by hanh nguyen and đăng nguyễn — at koi thé pearl plaza . PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING
FALSE,0,1,áo khoác đẹp mạy :)) Hiến Nguyễn,áo khoác đẹp mạy :)) hiến nguyễn,PADDING PADDING đẹp PADDING : ) ) hiến nguyễn PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING
FALSE,0,1,Huhu đẹppppppp :'( chị để dành mua nó đâyyyyy,huhu đẹppppppp :'( chị để dành mua nó đâyyyyy,huhu PADDING : ' ( chị để dành mua nó PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING
FALSE,0,1,AI ĐI MYANMAR không ạ  Vietjet Air chính thức khai trương đường bay thẳng HÀ NỘI (HAN) – YANGON (RGN - MYANMAR). Với mức giá vô cùng hấp dẫn. Thời gian mở bán: 12/05/2017 Thời gian khai thác từ: 31/08/2017 LH : 0898.689.688   -   0983.647.270,ai đi myanmar không ạ  vietjet air chính thức khai trương đường bay thẳng hà nội (han) – yangon (rgn - myanmar). với mức giá vô cùng hấp dẫn. thời gian mở bán: // thời gian khai thác từ: // lh : .   -   .,ai đi myanmar không ạ vietjet air chính thức khai trương đường bay thẳng hà nội ( han ) – yangon ( PADDING - myanmar ) . với mức giá vô cùng hấp dẫn . thời gian mở bán : // thời gian khai thác từ : // lh : . - . PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING
FALSE,0,1,"Mua hàng online trên Adayroi á chị, mua giầy được tặng thêm miếng lót giày da thật 100% nha em, nên đi sẽ êm chân lắm em","mua hàng online trên adayroi á chị, mua giầy được tặng thêm miếng lót giày da thật % nha em, nên đi sẽ êm chân lắm em","mua hàng online trên adayroi á chị , mua giầy được tặng thêm miếng lót giày da thật % nha em , nên đi sẽ êm chân lắm em PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING"
FALSE,0,1,"KHUYEN MAI VNA (THANG 3 & 4) HCM- HN: KHU HOI 2200K HCM- HP: KHU HOI 2200K HCM- THANH HOA: KHU HOI ₫999,999 - Hà Nội  KHUYEN MAI VNA (THANG 3 & 4) HCM- HN: KHU HOI 2200K HCM- HP: KHU HOI 2200K HCM- THANH HOA: KHU HOI  HCM- PHU QUOC: 550K/CHIEU TÙY THEO NGÀY BAY. HCM- DA LAT: 550K/CHIEU --------------------------------------------------- Phone:01667951810 zalo/viber: +841667951810 skype: oanh.nguyen747 ","khuyen mai vna (thang  & ) hcm- hn: khu hoi k hcm- hp: khu hoi k hcm- thanh hoa: khu hoi ₫, - hà nội  khuyen mai vna (thang  & ) hcm- hn: khu hoi k hcm- hp: khu hoi k hcm- thanh hoa: khu hoi  hcm- phu quoc: k/chieu tùy theo ngày bay. hcm- da lat: k/chieu --------------------------------------------------- phone: zalo/viber:  skype: oanh.nguyen ","khuyen mai vna ( thang & ) hcm- hn : khu hoi k hcm- hp : khu hoi k hcm- thanh hoa : khu hoi ₫ , - hà nội khuyen mai vna ( thang & ) hcm- hn : khu hoi k hcm- hp : khu hoi k hcm- thanh hoa : khu hoi hcm- phu quoc : k/chieu tùy theo ngày bay . hcm- da lat : k/chieu -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- - phone : PADDING : skype : PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING"
FALSE,0,1,Vietjet Ngập tràn vé rẻ cuối tháng 9 Chặng bay:  Tp. HCM - Huế - Tp.HCM Tp. HCM - Đà Nẵng - Tp.HCM  Giá chỉ: 199k (chưa có phí thuế)  Nhanh tay kẻo hết: thời gian bay và số lượng vé có hạn. Liên hệ: 0938 706345 Phòng Vé Thành Tâm added 2 new photos — with Nguyen Thanh Tam at Phòng vé Thành Tâm. Photos from Phòng Vé Thành Tâm's post,vietjet ngập tràn vé rẻ cuối tháng  chặng bay:  tp. hcm - huế - tp.hcm tp. hcm - đà nẵng - tp.hcm  giá chỉ: k (chưa có phí thuế)  nhanh tay kẻo hết: thời gian bay và số lượng vé có hạn. liên hệ:   phòng vé thành tâm added  new photos — with nguyen thanh tam at phòng vé thành tâm. photos from phòng vé thành tâm's post,vietjet ngập tràn vé rẻ cuối tháng chặng bay : tp . hcm - huế - tp.hcm tp . hcm - đà nẵng - tp.hcm giá chỉ : k ( chưa có phí thuế ) nhanh tay kẻo hết : thời gian bay và số lượng vé có hạn . liên hệ : phòng vé thành tâm added new photos — with nguyen thanh tam at phòng vé thành tâm . photos from phòng vé thành tâm 's post PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING
FALSE,0,1,"Thấy thuyết phục đc ba mình rồi, mình cũng đang nghiên cứu, hẳn là sẽ rinh 1 chiếc QLED về ;)","thấy thuyết phục đc ba mình rồi, mình cũng đang nghiên cứu, hẳn là sẽ rinh  chiếc qled về ;)","thấy thuyết phục đc ba mình rồi , mình cũng đang nghiên cứu , hẳn là sẽ rinh chiếc qled về ; ) PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING"
FALSE,0,1,Sắp tới ngày r mua xài thử xem mát bím k :))),sắp tới ngày r mua xài thử xem mát bím k :))),sắp tới ngày r mua xài thử xem mát bím k : ) ) ) PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING PADDING
